Omschrijving,Kleur,NFC-Waarde,Fashion-Waarde,Technische-Waarde,Culturele-Waarde,Politieke-Waarde,Economische-Waarde;
Drones is a big thing right now and also controversial. With drones you can fly to areas where you normally can't go and see those places. Therefore it is an extension of your human body. Besides that, there is also a thing about privacy. With drones you can spy on people in a sneaky way, without even being there.,Red,50,4,3,2,3,1;
Using a tablet as a way to order your food in a restaurant. Even the check and drinks can be asked with the tablet. No unnescessary contact needed with the staff...,Red,56,5,4,5,2,3;
The VR revolution is very interesting. Technique is getting better and the applications are getting more advanced. This revolution will start a chain reaction in graphic design, movies and everything that is on the screen right now.,Red,56,2,4,5,5,4;
This sign tells us that we can pay card 'wireless'. banks are trying to make it us more easy to make a payment. Maybe in the future the creditcard is emerged with the human body. This way payments are more safe and probably very fast.,Red,52,5,3,5,2,1;
It is a trend to implement nature in buildings and offices.,Red,59,5,5,5,1,2;
Nostalgia is back and getting big, look at Pokemon. A lot of company's and advertisements are taking advantage of this.,Blue,52,4,3,5,2,2;
The soda can is covert with a texture, perhaps its also recognizable for sighted people. The texture creates a effect of cold waterdrops on the can if you look at a distance of the can,Red,50,3,4,4,4,3;
Sharing is caring. A community where you can borrow and lent some from others,Red,45,4,4,2,4,4;
Extending our vision and brain by taking pictures as a reminder.,Blue,51,2,4,5,1,1;
An Apple watch is a digital extension you carry around. It does raise the issue of privacy, due to the data it collects for several different parties.,Red,41,4,4,5,2,1;
Kaapse Brouwers is a brewery which is located in Rotterdam. The last few years there is a fast grow in little breweries and even DIY brew packages. The mass production of beer is of course still leading, but the personal aspect of this movement is a trend.,Red,50,4,3,2,3,1;
Reward program from an airline, tracks your traveling behaviour and gives you discounts.,Blue,51,2,4,5,1,1;
Polaroids are in contradiction with the digital camera and modern technology. It is a trend to make polaroids again instead of photos with your digital camera or mobile phone.,Red,59,5,5,5,1,2;
More and more you see on the city, people but also the goverment are trying to make the city more their own and authentic. This is also a bigger trend of wanting to connect more with each other.,Blue,52,4,3,5,2,2;
"This is at GYS; a biological restaurant. The products are biological and this relates to mindful consuming. Also, it is a trend to make photos of the food you are eating.,Red,59,5,5,5,1,2";
Separate garbage cans. ITs better for the enviroment and cheaper to proces.,Yellow,45,5,5,5,1,1;
This is an example of augmented reality. It was from Albert Heijn, where you could get dino pictures when you spend 10 euros or more. With the dino application from Albert Heijn, you could see the dinosaurs in real life. After that Pokemon Go was introduced. (Although there were working on that for a long time).,Red,50,4,3,2,3,1;
Stores and company's are making objects with social media in their mind. This is a drinking jar I see a lot on Instagram. Also I see more and more trending objects online in stores.,Blue,52,4,3,5,2,2;
The store LOEK has #mijnLOEK. Post your new look with your new glasses and tag it with #mijnLOEK. Gives you the feeling that you can participate to the store.,Red,62,4,4,5,2,4;
At the moment, a lot of companies and supermarkets give free saddle covers to everyone. In this way, they advertise very easily.,Red,59,5,5,5,1,2;
You see them everywhere in the city; the carrier cycle. Usually parents transport their children by this special cycle. It is a product which is opposite of the digital world.,Red,59,5,5,5,1,2
This is a van, called Pizzabus. And you guessed it alread, they make pizzas. But it is new to make pizza in front of someones house. Normally you make a pizza by yourself or order one at home. Now you can see your pizza being made by someone else in front of your house.,Red,50,4,3,2,3,1;
Not only is meditation more accepted as a healthy thing also making a connecting with the place is upcoming.,Blue,52,4,3,5,2,2;
This is Pleinbioscoop; a place where you can watch movies with other visitors. They even have food and little markets where you can buy biological coffee. I think this concept illustrates the sharing economy and the mindful consuming trend.,Red,59,5,5,5,1,2
This is a picture of Rotterdam from of a roof at the Maasboulevard. This is an other example of vertically expansion of the city. The question is, how can we use rooftops and high buildings in the big city and how will it influence us?,Red,50,4,3,2,3,1;
People use emojis on every SNS life, and it's came out as a product.,Yellow,45,5,2,5,1,2;
Interacting with shop windows and connecting with social media on the streets is upcoming.,Blue,52,4,3,5,2,2;
Everyone can watch what kind of food delivery man carrying, and gives new customer idea of what to have for dinner.,Yellow,45,5,2,5,1,2;
This pictures shows a party in Aloha Bar. It is a silent disco party, which you see more often these days. It is an solution to party, without being loud. Besides that, it is a new way of communicate with other people on a party. Normally it is mostlu non-verbal because of the noise. With this concept you can normally talk to someone without screaming.,Red,50,4,3,2,3,1;
It's still sunny, 29 degrees, and WE already has their winter collection in their display.,Red,62,4,4,5,2,4;
With the lasercutter everybody can make their own creations. everybody uses it for a different purpose. In some kind of way is it an extension of the human body.,Red,52,5,3,5,2,1;
Virtual reality at its finest! But i had to subscribe for a nes letter to play.,Red,64,2,5,2,1,1;
Opzoomeren, a concept to upgrade the neighbourhood to a better place where everyone contributes.,Blue,51,2,4,5,1,1;
Working out on the street, people are trying to become healthier by using these street fitness machines.,Blue,51,2,4,5,1,1;
A new way of store presentation. Like a supermarket,Red,64,2,5,2,1,1;
This is in Aloha Bar, a bar in the old Tropicana in Rotterdam. Tropicana was a swimming pool in the centre of Rotterdam, which was an icon of the city. Nowadays they gave a new meaning to the place. You can chill and drink in Aloha Bar. But you have also Blue City next to it, where they focus on the Blue Economy.,Red,50,4,3,2,3,1;
With the help of everybody we can make this a cleaner world,Red,64,2,5,2,1,1;
,Red,64,2,5,2,1,1;
The handmade, green things LUSH sells are a recent trend in The Netherlands. People are prepared to buy more if it's fresh, good for them and gives them a good feeling about humanity (providing people jobs, because everything is handmade.),Red,62,4,4,5,2,4;
Here is a table and magazine holder in one. It was designed by a friend of mine. This is an example of mindful consuming. The use of the right material for more then 1 meaning.,Red,50,4,3,2,3,1;
Made from recycled plastic,Red,62,4,4,5,2,4;
Pop-up stores for quick popularity boost,Red,64,2,5,2,1,1;
People are trying to eat healthier and everybody is creating new interesting and creative products. A lot of start-ups with products are popping up, a lot are trending but also a lot are flopping.,Blue,52,4,3,5,2,2;
Shop display full of things that are typically American,Red,62,4,4,5,2,4;
This is the brewery of Kaapse Brouwers in the Fenix loodsen. You can drink and sit where they also make beer in front of you. Therefore people can see how it's made, totally perspirant.,Red,50,4,3,2,3,1;
customization,Red,64,2,5,2,1,1;
"Mindfullness. Would it really make me feel more ""mindful,"" I wonder, to color between the lines?,Red,62,4,4,5,2,4";
know its something but don't know what,Red,64,2,5,2,1,1;
"""Wanderlust"" is a recent trend. They sell a lot of these world maps. People want to travel the world and feel mindful. I think that it was already there, but is now more shared through social media (and that's why the sales of these maps go up),Red,62,4,4,5,2,4";
Personal car,Red,64,2,5,2,1,1;
Crossfit, everybody is an influencer, it's a sport that adjusts to the person doing it, we scale our weights, adjust our workouts and work together in a team.,Blue,51,2,4,5,1,1;
It fits in the DIY economy, where recycling is a must and making your own stuff is creative. By using these bins as a flowerpot they are giving it a new purpose.,Blue,52,5,4,4,1,1;
By customizing your own icecream you can totally make it your own. This is also part of the DIY economy. People want it more and more being personalized just for them.,Blue,52,5,4,4,1,1;
Where you can charge your electric car. Newer cars and electric cars are going to be better for the nature and environment. This is also an investment, for you (to save money on gas) and nature itself.,Blue,52,5,4,4,1,1;
Here you can see an overview of Rotterdam from the roof of Het Groothandelsgebouw. It was during the roof weeks. There was a huge stairway build from the square in front of Central Station to the roof of Het Groothandelsgebouw. It was meant as a eye opener to the people of Rotterdam about how we can use the rooftops to recreate and live.,Red,50,4,3,2,3,1;
This boat is located in front of our school. In the last three to four years I haven't seen it move. The boat isn't really being used to travel across water. It has an new meaning as a sort of boat hotel. A different way to spend the night in the city. I think it is a wink to the harbour of Rotterdam.,Red,50,4,3,2,3,1;
This is a boat with fake grass on it. It is meant to chill and make the city a bit more greener. The boat is reused for another purpose. It has to do with sharing economy and mindful consuming.,Red,59,5,5,5,1,2;
everybody is a creator, this way of business could create more revenue with the do it self customers,Red,50,3,4,4,4,3;
People can sit and play the piano in Erasmus hospital. They share their music with others.,Red,59,5,5,5,1,2;
this sign lead the costumer to the right place where he could buy his school stuff, perhaps we don't need a store clerk anymore when we use more AR,Red,50,3,4,4,4,3;
More tourist/ students are coming to Rotterdam, travel becomes much cheaper. the city needs to be prepared for the urbanization,Red,50,3,4,4,4,3;
,Red,50,3,4,4,4,3;
Their are more often a lot of other cultures coming to Rotterdam Perhaps the signings needs te be changed so every tourist will get the message.,Red,50,3,4,4,4,3;
A red carpet towards the tourist information point has been laid down to stand oud. The store had been extended by creating an unusual change in the street,Yellow,45,5,5,5,1,1;
Making old new, the resident had painted the electric house before his boat to create an nicer street.,Yellow,45,5,5,5,1,1;
,Yellow,45,5,5,5,1,1;
Increased product value by temputure indication, consumers can now see of the product is at his right temprature,Yellow,45,5,5,5,1,1;
Qr-code, a digital barcode has been placed to extent information over the location.,Yellow,45,5,5,5,1,1;
The value of the hotel has been increased by the location. Its on the water experience!,Yellow,45,5,5,5,1,1;
QR-code. We extend our body by using QR codes on our cellphones. We make life easier for ourselves by just scanning a code instead of opening your webbrowser and typing in a link.,Blue,51,2,4,5,1,1;
A traveling carpet that functions as public 'park'. The concept is about feeling connected with other people and experiencing your city in a new positief way. This has to do with the trend of making the city your own and creating public spaces for experience.,Blue,52,4,3,5,2,2;
A shared/public library where everybody can exchange books. A sign of the trends: more 'offline' connections between people and going back to the 'old'. People more and more want to disconnect and make use of old/retro things,,Blue,52,4,3,5,2,2;
Technology/mobile phone company's are beginning to look a lot like each other. They are copying each others designs and functions. It is only a matter of time that a new game changer will take over.,Blue,52,4,3,5,2,2;
More and more company's are collaborating/merging and working together. Here you see a Macdonalds beneath a clothing store.,Blue,52,4,3,5,2,2;
The use of people to prevent burglury/damage. The atraction of this wil be decresed,Yellow,45,5,5,5,1,1;
This is at Tropicana; a former swimmingpool which is now used as a place for organisations related to BlueCity010. BlueCity010 is a company that connects organisations which reuse waste. An example of an organisation located in Tropicana is Rotterzwam. They grow mushrooms which are used at the Aloha bar next to it.,Red,59,5,5,5,1,2
DuoSkin is a fabrication process that enables anyone to create customized functional devices that can be attached directly on their skin.,Blue,64,5,5,5,3,4;
The MIDI controller jacket DK1is a jacket that allows you to create music through body movements and body sensors.,Blue,64,5,5,5,3,4;
,,,,,,,;
Privacy matters more and more, people becoming aware of the downside of social media,Green,48,4,4,5,3,1;
Social shopping, instagram is doing it and other social media will follow soon,Green,48,4,4,5,3,1;
Storytelling, bind your customers by giving them a nice background story of who you are,Green,48,4,4,5,3,1;
In a few years augmented reailty will be part of our lives,Green,48,4,4,5,3,1;
Asking people what kind of advertisment they want, so they feel like they have something to say, and are more likely to react on the advertisment,Green,48,4,4,5,3,1;
